Year,venue,team1,team2,toss_winner,toss_decision,head to head ratio team1 ,head to head ratio team2,1st iining win,2 nd inning win,winner,,,HISTORICAL TOSS DECISION WIN,
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Sunrisers Hyderabad,,,BAT,0
2017,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,,,,,Rising Pune Supergiant,,,,
2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2017,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,,,,,Kings XI Punjab,,,,
2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,,,,,Royal Challengers Bangalore,,,,
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,,,,,Sunrisers Hyderabad,,,,
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2017,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,,,,,Kings XI Punjab,,,,
2017,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,,,,,Delhi Daredevils,,,,
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,,,,,Gujarat Lions,,,,
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,,,,Kolkata Knight Riders,,,,
2017,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,,,,,Delhi Daredevils,,,,
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Gujarat Lions,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,,,,,Rising Pune Supergiant,,,,
2017,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,,,,,Kolkata Knight Riders,,,,
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,,,,,Sunrisers Hyderabad,,,,
2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,,,,,Royal Challengers Bangalore,,,,
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,,,,,Sunrisers Hyderabad,,,,
2017,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,,,,,Gujarat Lions,,,,
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,,,,,Mumbai Indians,,,,
2017,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,,,,,Rising Pune Supergiant,,,,
2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,,,,,Kings XI Punjab,,,,
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Kolkata Knight Riders,,,,
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,,,,,Rising Pune Supergiant,,,,
2017,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,,,,,Gujarat Lions,,,,
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2017,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,,,,,Sunrisers Hyderabad,,,,
2017,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Rising Pune Supergiant,,,,
2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,,,,,Mumbai Indians,,,,
2017,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,,,,,Kings XI Punjab,,,,
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Sunrisers Hyderabad,,,,
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,,,,,Mumbai Indians,,,,
2017,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,field,,,,,Rising Pune Supergiant,,,,
