Year,venue,team1,team2,toss_winner,toss_decision,1st innings win ratio,2nd innings win ratio,head to head ratio team1,head to head ratio team2,winner
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.4444,0.5556,0.565217391,0.434782609,Sunrisers Hyderabad
2017,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Bat,0.4167,0.5833,0.6,0.4,Royal Challengers Bangalore
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Field,0.4231,0.5769,0.71875,0.28125,Mumbai Indians
2017,"Holkar Cricket Stadium, Indore",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Bat,0.1111,0.8889,0.53125,0.46875,Punjab Kings
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Field,0.4231,0.5769,0.545454545,0.454545455,Mumbai Indians
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Field,0.4111,0.5889,0.65625,0.34375,Kolkata Knight Riders
2017,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,0.4167,0.5833,0.424242424,0.575757576,Mumbai Indians
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,0.4111,0.5889,0.653846154,0.346153846,Kolkata Knight Riders
2017,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Sunrisers Hyderabad,Bat,0.4405,0.5595,0.48484,0.51516,Delhi Capitals
2017,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Bat,0.4405,0.5595,0.45455,0.54545,Kolkata Knight Riders
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Field,0.4444,0.5556,0.68181,0.31819,Sunrisers Hyderabad
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Bat,0.4444,0.5556,0.54167,0.45833,Sunrisers Hyderabad
2017,"Holkar Cricket Stadium, Indore",Punjab Kings,Mumbai Indians,Mumbai Indians,Field,0.1111,0.8889,0.46875,0.53125,Mumbai Indians
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Field,0.4231,0.5769,0.5588,0.4412,Mumbai Indians
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.4111,0.5889,0.5757,0.4243,Kolkata Knight Riders
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Field,0.4111,0.5889,0.54545,0.45455,Kolkata Knight Riders
2017,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Field,0.45,0.55,0.31819,0.68181,Sunrisers Hyderabad
